F S     PID    PPID CLS PRI  NI STAT CMD                         RTPRIO
1 I     148       2  TS  39 -20 I<    \_ [md]                         -
1 I     149       2  TS  39 -20 I<    \_ [edac-poller]                -
1 I     150       2  TS  39 -20 I<    \_ [devfreq_wq]                 -
1 S     151       2  FF  90   - S     \_ [watchdogd]                 50
1 I     152       2  TS  39 -20 I<    \_ [kworker/8:1H-kblockd]       -
1 S     153       2  FF  90   - S     \_ [irq/25-AMD-Vi]             50
1 S     155       2  TS  19   0 S     \_ [kswapd0]                    -
1 S     156       2  TS  19   0 S     \_ [ecryptfs-kthrea]            -
1 I     158       2  TS  39 -20 I<    \_ [kthrotld]                   -
1 I     167       2  TS  39 -20 I<    \_ [acpi_thermal_pm]            -
1 I     169       2  TS  39 -20 I<    \_ [vfio-irqfd-clea]            -
1 I     170       2  TS  39 -20 I<    \_ [mld]                        -
1 I     171       2  TS  39 -20 I<    \_ [ipv6_addrconf]              -
1 I     173       2  TS  39 -20 I<    \_ [kworker/2:1H-kblockd]       -
1 I     181       2  TS  39 -20 I<    \_ [kstrp]                      -
1 I     184       2  TS  39 -20 I<    \_ [zswap-shrink]               -
1 I     185       2  TS  39 -20 I<    \_ [kworker/u33:0-rb_alloc      -
1 I     192       2  TS  39 -20 I<    \_ [charger_manager]            -
1 S     194       2  FF  90   - S     \_ [irq/26-ACPI:Eve]           50
1 S     195       2  FF  90   - S     \_ [irq/27-ACPI:Eve]           50
1 S     196       2  FF  90   - S     \_ [irq/28-ACPI:Eve]           50
1 S     197       2  FF  90   - S     \_ [irq/29-ACPI:Eve]           50
1 S     198       2  FF  90   - S     \_ [irq/30-ACPI:Eve]           50
1 S     199       2  FF  90   - S     \_ [irq/31-ACPI:Eve]           50
1 S     200       2  FF  90   - S     \_ [irq/32-ACPI:Eve]           50
1 S     201       2  FF  90   - S     \_ [irq/33-ACPI:Eve]           50
1 I     225       2  TS  39 -20 I<    \_ [kworker/6:1H-kblockd]       -
1 I     251       2  TS  39 -20 I<    \_ [kworker/10:1H-kblockd]      -
1 I     268       2  TS  39 -20 I<    \_ [nvme-wq]                    -
1 I     269       2  TS  39 -20 I<    \_ [nvme-reset-wq]              -
1 I     271       2  TS  39 -20 I<    \_ [nvme-delete-wq]             -
1 S     272       2  FF  90   - S     \_ [irq/46-GXTP7863]           50
